iter	Passed	Remaining
628	1114	657
629	1115	654
630	1115	652
631	1116	650
632	1117	647
633	1118	645
634	1119	643
635	1120	641
636	1121	639
637	1122	636
638	1123	634
639	1124	632
640	1124	630
641	1125	627
642	1126	625
643	1127	623
644	1128	620
645	1129	618
646	1129	616
647	1130	614
648	1131	612
649	1132	610
650	1134	607
651	1134	605
652	1135	603
653	1136	601
654	1137	599
655	1138	596
656	1139	594
657	1140	592
658	1140	590
659	1141	588
660	1142	586
661	1143	583
662	1144	581
663	1145	579
664	1146	577
665	1147	575
666	1148	573
667	1149	571
668	1150	569
669	1151	566
670	1151	564
671	1152	562
672	1153	560
673	1154	558
674	1155	556
675	1156	554
676	1157	552
677	1157	549
678	1158	547
679	1159	545
680	1160	543
681	1161	541
682	1162	539
683	1163	537
684	1164	535
685	1165	533
686	1166	531
687	1166	529
688	1167	527
689	1168	524
690	1169	522
691	1170	520
692	1170	518
693	1171	516
694	1172	514
695	1173	512
696	1174	510
697	1175	508
698	1176	506
699	1177	504
700	1178	502
701	1179	500
702	1179	498
703	1180	496
704	1181	494
705	1182	492
706	1183	490
707	1184	488
708	1184	486
709	1185	484
710	1186	482
711	1187	480
712	1188	478
713	1189	476
714	1190	474
715	1191	472
716	1192	470
717	1193	468
718	1194	466
719	1195	464
720	1196	462
721	1197	460
722	1197	458
723	1198	456
724	1199	455
725	1200	453
726	1201	451
727	1202	449
728	1203	447
729	1203	445
730	1204	443
731	1205	441
732	1207	439
733	1207	437
734	1208	435
735	1209	433
736	1210	431
737	1211	430
738	1212	428
739	1213	426
740	1214	424
741	1214	422
742	1215	420
743	1216	418
744	1217	416
745	1218	414
746	1219	412
747	1220	411
748	1221	409
749	1222	407
750	1223	405
751	1224	403
752	1224	401
753	1225	399
754	1226	398
755	1227	396
756	1228	394
757	1229	392
758	1230	390
759	1231	388
760	1232	386
761	1232	385
762	1233	383
763	1234	381
764	1235	379
765	1236	377
766	1237	375
767	1238	374
768	1239	372
769	1240	370
770	1240	368
771	1241	366
772	1242	364
773	1243	363
774	1244	361
775	1245	359
776	1246	357
777	1246	355
778	1247	353
779	1248	352
780	1249	350
781	1250	348
782	1251	346
783	1252	345
784	1253	343
785	1254	341
786	1255	339
787	1256	337
788	1257	336
789	1257	334
790	1258	332
791	1259	330
792	1260	329
793	1261	327
794	1262	325
795	1262	323
796	1264	321
797	1265	320
798	1266	318
799	1267	316
800	1267	315
801	1268	313
802	1269	311
803	1270	309
804	1271	307
805	1272	306
806	1272	304
807	1273	302
808	1274	300
809	1275	299
810	1276	297
811	1277	295
812	1278	293
813	1279	292
814	1280	290
815	1281	288
816	1282	287
817	1283	285
818	1283	283
819	1284	282
820	1285	280
821	1286	278
822	1287	276
823	1288	275
824	1288	273
825	1289	271
826	1290	269
827	1291	268
828	1292	266
829	1293	264
830	1294	263
831	1295	261
832	1296	259
833	1297	258
834	1298	256
835	1298	254
836	1299	253
837	1300	251
838	1301	249
839	1302	248
840	1303	246
841	1304	244
842	1305	243
843	1305	241
844	1306	239
845	1307	238
846	1308	236
847	1310	234
848	1310	233
849	1311	231
850	1312	229
851	1313	228
852	1314	226
853	1315	224
854	1316	223
855	1317	221
856	1318	219
857	1319	218
858	1320	216
859	1320	215
860	1322	213
861	1323	211
862	1324	210
863	1325	208
864	1325	206
865	1326	205
866	1327	203
867	1328	201
868	1329	200
869	1329	198
870	1330	197
871	1331	195
872	1332	193
873	1333	192
874	1334	190
875	1335	188
876	1336	187
877	1337	185
878	1339	184
879	1339	182
880	1340	181
881	1341	179
882	1342	177
883	1343	176
884	1344	174
885	1345	173
886	1346	171
887	1347	169
888	1348	168
889	1349	166
890	1350	165
891	1351	163
892	1353	162
893	1354	160
894	1354	158
895	1355	157
896	1356	155
897	1357	154
898	1358	152
899	1359	151
900	1360	149
901	1360	147
902	1361	146
903	1362	144
904	1363	143
905	1364	141
906	1365	139
907	1366	138
908	1367	136
909	1368	135
910	1369	133
911	1370	132
912	1371	130
913	1372	129
914	1373	127
915	1374	126
916	1374	124
917	1375	122
918	1376	121
919	1377	119
920	1378	118
921	1379	116
922	1380	115
923	1381	113
924	1382	112
925	1383	110
926	1384	109
927	1385	107
928	1386	105
929	1387	104
930	1388	102
931	1389	101
932	1389	99
933	1390	98
934	1391	96
935	1392	95
936	1393	93
937	1394	92
938	1395	90
939	1396	89
940	1397	87
941	1398	86
942	1399	84
943	1400	83
944	1401	81
945	1402	80
946	1403	78
947	1404	77
948	1405	75
949	1406	74
950	1407	72
951	1408	70
952	1409	69
953	1409	67
954	1411	66
955	1412	64
956	1413	63
957	1414	61
958	1415	60
959	1416	59
960	1417	57
961	1417	56
962	1418	54
963	1419	53
964	1420	51
965	1421	50
966	1422	48
967	1423	47
968	1424	45
969	1425	44
970	1426	42
971	1427	41
972	1428	39
973	1429	38
974	1430	36
975	1431	35
976	1432	33
977	1432	32
978	1433	30
979	1434	29
980	1435	27
981	1436	26
982	1437	24
983	1438	23
984	1439	21
985	1440	20
986	1441	18
987	1442	17
988	1443	16
989	1444	14
990	1445	13
991	1446	11
992	1446	10
993	1447	8
994	1448	7
995	1449	5
996	1450	4
997	1451	2
998	1452	1
999	1452	0
